date;SP500;NASDAQ
2023-03-21-10-33;3981.12;12625.11
2023-03-21-10-34;3979.83;12619.15
2023-03-21-10-35;3978.46;12614.09
2023-03-21-10-36;3976.72;12611.39
2023-03-21-10-37;3976.38;12610.80
2023-03-21-10-38;3978.49;12620.66
2023-03-21-10-39;3979.93;12624.70
2023-03-21-10-40;3981.11;12625.74
2023-03-21-10-41;3981.78;12628.97
2023-03-21-10-42;3981.32;12624.57
2023-03-21-10-43;3979.11;12615.37
2023-03-21-10-44;3979.02;12616.95
2023-03-21-10-45;3980.37;12619.76
2023-03-21-10-46;3982.98;12628.37
2023-03-21-10-47;3983.93;12628.76
2023-03-21-10-48;3983.85;12626.61
2023-03-21-10-49;3984.45;12626.74
2023-03-21-10-50;3984.57;12628.87
2023-03-21-10-51;3982.44;12621.06
2023-03-21-10-52;3979.69;12602.36
2023-03-21-10-53;3978.57;12600.13
2023-03-21-10-54;3977.45;12597.78
2023-03-21-10-55;3976.33;12592.03
2023-03-21-10-56;3977.23;12599.73
2023-03-21-10-57;3977.26;12599.37
2023-03-21-10-58;3976.78;12596.60
2023-03-21-10-59;3975.71;12593.13
2023-03-21-11-00;3977.68;12599.49
2023-03-21-11-01;3978.47;12602.70
2023-03-21-11-02;3979.16;12606.38
2023-03-21-11-03;3979.64;12607.52
2023-03-21-11-04;3978.80;12603.76
2023-03-21-11-05;3978.21;12601.56
2023-03-21-11-06;3979.73;12604.85
2023-03-21-11-07;3978.20;12598.54
2023-03-21-11-08;3979.95;12604.71
2023-03-21-11-09;3980.64;12611.03
2023-03-21-11-10;3981.54;12617.09
2023-03-21-11-11;3981.73;12616.62
2023-03-21-11-12;3983.55;12622.48
2023-03-21-11-13;3984.39;12627.10
2023-03-21-11-14;3984.63;12630.55
2023-03-21-11-15;3986.68;12638.26
2023-03-21-11-16;3986.83;12639.70
2023-03-21-11-17;3987.40;12643.86
2023-03-21-11-18;3987.17;12640.78
2023-03-21-11-19;3985.98;12637.39
2023-03-21-11-20;3987.63;12643.79
2023-03-21-11-21;3987.46;12639.73
2023-03-21-11-22;3986.14;12633.59
2023-03-21-11-23;3986.66;12633.59
2023-03-21-11-24;3986.69;12631.81
2023-03-21-11-25;3987.13;12633.86
2023-03-21-11-26;3986.91;12634.38
2023-03-21-11-27;3983.55;12623.32
2023-03-21-11-28;3985.57;12633.08
2023-03-21-11-29;3984.63;12629.61
2023-03-21-11-30;3984.20;12625.82
2023-03-21-11-31;3985.25;12628.27
2023-03-21-11-32;3985.32;12629.00
2023-03-21-11-33;3987.34;12635.80
2023-03-21-11-34;3986.79;12635.29
2023-03-21-11-35;3985.48;12630.35
2023-03-21-11-36;3984.73;12627.52
2023-03-21-11-37;3982.92;12619.45
2023-03-21-11-38;3984.84;12626.33
2023-03-21-11-39;3981.65;12618.82
2023-03-21-11-40;3978.89;12608.00
